prop,count,
http://www.wikidata.org/P4625,6,
http://www.wikidata.org/P7457,6,
http://www.wikidata.org/P7457,6,
http://www.wikidata.org/P570,6,
http://www.wikidata.org/P570,6,
http://www.wikidata.org/P2682,6,
http://www.wikidata.org/P2682,6,
http://www.wikidata.org/P364,6,
http://www.wikidata.org/P4983,6,
http://www.wikidata.org/P364,6,
http://www.wikidata.org/P4983,6,
http://www.wikidata.org/P6721,6,
http://www.wikidata.org-normalized/P6721,6,
http://www.wikidata.org/P6721,6,
http://www.wikidata.org/P6323,6,
http://www.wikidata.org/P6323,6,
http://www.wikidata.org/P8922,6,
http://www.wikidata.org/P8922,6,
http://www.wikidata.org/P6246,6,
http://www.wikidata.org/P6246,6,
http://www.wikidata.org/P1566,6,
http://www.wikidata.org-normalized/P1566,6,
http://www.wikidata.org/P1566,6,
http://www.wikidata.org/P1014,6,
http://www.wikidata.org/P1412,6,
http://www.wikidata.org/P1412,6,
http://www.wikidata.org/P137,6,
http://www.wikidata.org/P137,6,
http://www.wikidata.org/P2347,6,
http://www.wikidata.org-normalized/P2347,6,
http://www.wikidata.org/P2347,6,
http://www.wikidata.org/P155,6,
http://www.wikidata.org/P155,6,
http://www.wikidata.org/P97,6,
http://www.wikidata.org/P97,6,
http://www.wikidata.org/P840,6,
http://www.wikidata.org/P840,6,
http://www.wikidata.org/P4712,5,
http://www.wikidata.org/P4712,5,
http://www.wikidata.org/P10750,5,
http://www.wikidata.org/P10750,5,
http://www.wikidata.org/P7678,5,
http://www.wikidata.org/P7678,5,
http://www.wikidata.org/P1113,5,
http://www.wikidata.org/P2437,5,
http://www.wikidata.org/P4835,5,
http://www.wikidata.org/P5327,5,
http://www.wikidata.org/P1113,5,
http://www.wikidata.org/P177,5,
http://www.wikidata.org/P177,5,
http://www.wikidata.org/P2437,5,
http://www.wikidata.org/P4835,5,
http://www.wikidata.org/P5327,5,
http://www.wikidata.org/P8906,5,
http://www.wikidata.org/P8906,5,
http://www.wikidata.org/P2424,5,
http://www.wikidata.org/P2424,5,
http://www.wikidata.org/P10039,5,
http://www.wikidata.org/P10039,5,
http://www.wikidata.org/P9051,5,
http://www.wikidata.org/P9051,5,
http://www.wikidata.org/P1014,5,
http://www.wikidata.org/P7749,5,
http://www.wikidata.org-normalized/P1014,5,
http://www.wikidata.org/P7749,5,
http://www.wikidata.org/P9787,5,
http://www.wikidata.org/P9789,5,
http://www.wikidata.org/P9787,5,
http://www.wikidata.org/P9789,5,
http://www.wikidata.org/P3827,5,
http://www.wikidata.org/P8814,5,
http://www.wikidata.org/P2924,5,
http://www.wikidata.org/P3827,5,
http://www.wikidata.org/P8814,5,
http://www.wikidata.org/P8313,5,
http://www.wikidata.org/P2924,5,
http://www.wikidata.org/P8313,5,
http://www.wikidata.org/P4684,5,
http://www.wikidata.org/P4684,5,
http://www.wikidata.org/P4511,5,
http://www.wikidata.org/P4511,5,
http://www.wikidata.org/P3365,5,
http://www.wikidata.org/P3365,5,
http://www.wikidata.org/P6631,5,
http://www.wikidata.org/P6631,5,
http://www.wikidata.org/P542,4,
http://www.wikidata.org/P542,4,
http://www.wikidata.org/P5524,4,
http://www.wikidata.org/P27,4,
http://www.wikidata.org/P27,4,
http://www.wikidata.org/P569,4,
http://www.wikidata.org/P569,4,
http://www.wikidata.org/P1656,4,
http://www.wikidata.org/P1656,4,
http://www.wikidata.org/P5524,4,
http://www.wikidata.org/P1326,4,
http://www.wikidata.org/P1326,4,
http://www.wikidata.org/P1639,4,
http://www.wikidata.org/P1639,4,
http://www.wikidata.org/P2047,4,
http://www.wikidata.org/P6643,4,
http://www.wikidata.org/P2047,4,
http://www.wikidata.org/P6643,4,
http://www.wikidata.org/P8916,4,
http://www.wikidata.org/P8916,4,
http://www.wikidata.org/P287,4,
http://www.wikidata.org/P287,4,
http://www.wikidata.org/P421,4,
http://www.wikidata.org/P7305,4,
http://www.wikidata.org/P7859,4,
http://www.wikidata.org/P421,4,
http://www.wikidata.org/P7305,4,
http://www.wikidata.org/P7859,4,
http://www.wikidata.org/P1398,4,
http://www.wikidata.org/P1398,4,
http://www.wikidata.org/P1801,4,
http://www.wikidata.org/P1436,4,
http://www.wikidata.org/P1801,4,
http://www.wikidata.org/P6568,4,
http://www.wikidata.org/P6568,4,
http://www.wikidata.org/P2067,4,
http://www.wikidata.org/P2067,4,
http://www.wikidata.org/P3783,4,
http://www.wikidata.org/P3783,4,
http://www.wikidata.org/P2186,4,
http://www.wikidata.org/P2186,4,
http://www.wikidata.org/P481,4,
http://www.wikidata.org/P481,4,
http://www.wikidata.org/P740,4,
http://www.wikidata.org/P740,4,
http://www.wikidata.org/P5407,4,
http://www.wikidata.org/P5407,4,
http://www.wikidata.org/P7772,4,
http://www.wikidata.org/P7772,4,
http://www.wikidata.org/P1477,4,
http://www.wikidata.org/P1477,4,
http://www.wikidata.org/P8946,4,
http://www.wikidata.org/P8946,4,
http://www.wikidata.org/P508,4,
http://www.wikidata.org/P1256,4,
http://www.wikidata.org/P3553,4,
http://www.wikidata.org-normalized/P508,4,
http://www.wikidata.org-normalized/P1256,4,
http://www.wikidata.org/P508,4,
http://www.wikidata.org/P1256,4,
http://www.wikidata.org/P3553,4,
http://www.wikidata.org/P4342,4,
http://www.wikidata.org/P4342,4,
http://www.wikidata.org/P2634,4,
http://www.wikidata.org/P2634,4,
http://www.wikidata.org/P8031,4,
http://www.wikidata.org/P8031,4,
http://www.wikidata.org/P3222,4,
http://www.wikidata.org/P3222,4,
http://www.wikidata.org/P8905,4,
http://www.wikidata.org/P8905,4,
http://www.wikidata.org/P10121,4,
http://www.wikidata.org/P10121,4,
http://www.wikidata.org/P87,4,
http://www.wikidata.org/P87,4,
http://www.wikidata.org/P3569,4,
http://www.wikidata.org/P3569,4,
http://www.wikidata.org/P4525,4,
http://www.wikidata.org-normalized/P4525,4,
http://www.wikidata.org/P4525,4,
http://www.wikidata.org/P349,4,
http://www.wikidata.org-normalized/P349,4,
http://www.wikidata.org/P349,4,
http://www.wikidata.org/P10565,4,
http://www.wikidata.org/P1424,4,
http://www.wikidata.org/P10565,4,
http://www.wikidata.org/P1424,4,
http://www.wikidata.org/P1482,4,
http://www.wikidata.org/P797,4,
http://www.wikidata.org/P797,4,
http://www.wikidata.org/P19,3,
http://www.wikidata.org/P19,3,
http://www.wikidata.org/P1340,3,
http://www.wikidata.org/P4479,3,
http://www.wikidata.org/P5905,3,
http://www.wikidata.org/P6181,3,
http://www.wikidata.org/P1340,3,
http://www.wikidata.org/P4479,3,
http://www.wikidata.org/P5905,3,
http://www.wikidata.org/P6181,3,
http://www.wikidata.org/P7293,3,
http://www.wikidata.org/P7293,3,
http://www.wikidata.org/P6805,3,
http://www.wikidata.org/P6805,3,
http://www.wikidata.org/P1436,3,
http://www.wikidata.org/P2130,3,
http://www.wikidata.org/P2130,3,
http://www.wikidata.org/P7561,3,
http://www.wikidata.org/P7561,3,
http://www.wikidata.org/P443,3,
http://www.wikidata.org/P443,3,
http://www.wikidata.org/P2603,3,
http://www.wikidata.org/P2603,3,
http://www.wikidata.org/P166,3,
http://www.wikidata.org/P166,3,
http://www.wikidata.org/P5265,3,
http://www.wikidata.org/P5265,3,
http://www.wikidata.org/P8514,3,
http://www.wikidata.org/P8514,3,
http://www.wikidata.org/P8583,3,
http://www.wikidata.org/P8583,3,
http://www.wikidata.org/P1064,3,
http://www.wikidata.org/P1100,3,
http://www.wikidata.org/P2978,3,
http://www.wikidata.org/P1587,3,
http://www.wikidata.org/P1587,3,
http://www.wikidata.org/P2344,3,
http://www.wikidata.org/P2344,3,
http://www.wikidata.org/P2108,3,
http://www.wikidata.org/P2108,3,
http://www.wikidata.org/P1064,3,
http://www.wikidata.org/P1100,3,
http://www.wikidata.org/P2978,3,
http://www.wikidata.org/P1092,3,
http://www.wikidata.org/P1092,3,
http://www.wikidata.org/P4611,3,
http://www.wikidata.org/P4611,3,
http://www.wikidata.org/P4584,3,
http://www.wikidata.org/P4675,3,
http://www.wikidata.org/P4584,3,
http://www.wikidata.org/P4675,3,
http://www.wikidata.org/P10431,3,
http://www.wikidata.org/P6291,3,
http://www.wikidata.org/P6291,3,
http://www.wikidata.org/P8909,3,
http://www.wikidata.org/P8909,3,
http://www.wikidata.org/P10312,3,
http://www.wikidata.org/P10312,3,
http://www.wikidata.org/P167,3,
http://www.wikidata.org/P167,3,
http://www.wikidata.org/P1191,3,
http://www.wikidata.org/P1191,3,
http://www.wikidata.org/P8907,3,
http://www.wikidata.org/P8907,3,
http://www.wikidata.org/P724,3,
http://www.wikidata.org/P724,3,
http://www.wikidata.org/P585,3,
http://www.wikidata.org/P585,3,
http://www.wikidata.org/P6002,3,
http://www.wikidata.org/P6002,3,
http://www.wikidata.org/P950,3,
http://www.wikidata.org/P1051,3,
http://www.wikidata.org/P2163,3,
http://www.wikidata.org/P3847,3,
http://www.wikidata.org-normalized/P950,3,
http://www.wikidata.org-normalized/P2163,3,
http://www.wikidata.org/P950,3,
http://www.wikidata.org/P1051,3,
http://www.wikidata.org/P2163,3,
http://www.wikidata.org/P3847,3,
http://www.wikidata.org/P161,3,
http://www.wikidata.org/P161,3,
http://www.wikidata.org/P435,2,
http://www.wikidata.org-normalized/P435,2,
http://www.wikidata.org/P435,2,
http://www.wikidata.org/P4740,2,
http://www.wikidata.org/P4740,2,
http://www.wikidata.org/P8640,2,
http://www.wikidata.org/P8640,2,
http://www.wikidata.org/P5986,2,
http://www.wikidata.org/P5986,2,
http://www.wikidata.org/P4834,2,
http://www.wikidata.org/P8931,2,
http://www.wikidata.org/P8931,2,
http://www.wikidata.org/P8521,2,
http://www.wikidata.org/P8521,2,
http://www.wikidata.org/P4834,2,
http://www.wikidata.org/P4674,2,
http://www.wikidata.org/P4674,2,
http://www.wikidata.org/P154,2,
http://www.wikidata.org/P159,2,
http://www.wikidata.org/P154,2,
http://www.wikidata.org/P159,2,
http://www.wikidata.org/P749,2,
http://www.wikidata.org/P1207,2,
http://www.wikidata.org/P1695,2,
http://www.wikidata.org/P2013,2,
http://www.wikidata.org/P749,2,
http://www.wikidata.org/P1207,2,
http://www.wikidata.org/P1695,2,
http://www.wikidata.org/P2013,2,
http://www.wikidata.org/P1822,2,
http://www.wikidata.org/P1822,2,
http://www.wikidata.org/P272,2,
http://www.wikidata.org/P462,2,
http://www.wikidata.org/P1267,2,
http://www.wikidata.org/P5099,2,
http://www.wikidata.org/P272,2,
http://www.wikidata.org/P462,2,
http://www.wikidata.org/P1267,2,
http://www.wikidata.org/P5099,2,
http://www.wikidata.org/P1366,2,
http://www.wikidata.org/P1366,2,
