item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q701751,Ján Lipský,L/Lipszky-Szedlicsna_Janos_1766_1826,123749026
http://www.wikidata.org/entity/Q707106,Carl August von Steinheil,S/Steinheil_Carl-August_1801_1870,11900755X
http://www.wikidata.org/entity/Q708238,Jan Styka,S/Styka_Jan_1858_1925,122331567
http://www.wikidata.org/entity/Q709286,Arthur Ernst Rutra,R/Rutra_Arthur-Ernst_1892_1942,116712112
http://www.wikidata.org/entity/Q710105,Arthur Kaan,K/Kaan_Arthur_1867_1940,1012940780
http://www.wikidata.org/entity/Q711007,Arthur Porr,P/Porr_Arthur_1872_1915,1026532256
http://www.wikidata.org/entity/Q711026,Arthur Preuss,P/Preuss_Arthur_1878_1944,124630472
http://www.wikidata.org/entity/Q711607,Simone Assemani,A/Assemani_Simone_1752_1821,116371315
http://www.wikidata.org/entity/Q712221,Arthur von Hübl,H/Huebl_Arthur_1853_1932,117539139
http://www.wikidata.org/entity/Q712249,Arthur von Seckendorff-Gudent,S/Seckendorff-Gudent_Arthur_1845_1886,133791785
http://www.wikidata.org/entity/Q712360,Jaroslav Goll,G/Goll_Jaroslav_1846_1929,117694118
http://www.wikidata.org/entity/Q712420,Otokar Březina,B/Brezina_Otokar_1868_1929,118660055
http://www.wikidata.org/entity/Q715075,József Schweidel,S/Schweidel_Jozsef_1796_1849,1033486213
http://www.wikidata.org/entity/Q716001,Artúr Görgei,G/Goergey-Goergoe-Toporcz_Arthur_1818_1916,118717898
http://www.wikidata.org/entity/Q716145,Mihailo Vitković,V/Vitkovics_Mihaly_1778_1829,
http://www.wikidata.org/entity/Q716504,Gábor Kazinczy,K/Kazinczy_Gabor_1818_1864,120990989
http://www.wikidata.org/entity/Q725492,František Tkadlík,K/Kadlik_Franz_1786_1840,116012315
http://www.wikidata.org/entity/Q727629,Jakub Jan Ryba,R/Ryba_Jakub-Jan_1765_1815,11945873X
http://www.wikidata.org/entity/Q729349,Franz Schönthaler,S/Schoenthaler_Franz_1821_1904,122735862
http://www.wikidata.org/entity/Q732081,Ludwig von Starhemberg,S/Starhemberg_Ludwig_1762_1833,117216542
http://www.wikidata.org/entity/Q738539,Carlo Michelstaedter,M/Michelstaedter_Carlo_1887_1910,118783769
http://www.wikidata.org/entity/Q741464,Sámuel Baron Jósika von Branyicska,J/Josika-Branyicska_Samu_1805_1860,117199109
http://www.wikidata.org/entity/Q761164,August Einspinner,E/Einspinner_August_1870_1927,130144770
http://www.wikidata.org/entity/Q761774,Károly Kétly,K/Ketly-Csurgo_Karoly_1839_1927,1013795725
http://www.wikidata.org/entity/Q761962,August Hornbostel,H/Hornbostel_August-Gottlieb_1786_1838,137634102
http://www.wikidata.org/entity/Q762589,August Köstlin,K/Koestlin_August_1825_1894,104187433
http://www.wikidata.org/entity/Q766082,Auguste Auspitz-Kolár,A/Auspitz-Kolar_Auguste_1843_1878,11631060X
http://www.wikidata.org/entity/Q766691,Auguste Lazar,L/Lazar_Auguste_1887_1970,118570404
http://www.wikidata.org/entity/Q78108,Julius Meier-Graefe,M/Maier-Graefe_Julius_1867_1935,118732641
http://www.wikidata.org/entity/Q78477,Joseph Schumpeter,S/Schumpeter_Joseph-Alois_1883_1950,118611682
http://www.wikidata.org/entity/Q78530,Viktor Ullmann,U/Ullmann_Viktor-Josef_1898_1944,119065193
http://www.wikidata.org/entity/Q78586,Leo Slezak,S/Slezak_Leo_1873_1946,118614959
http://www.wikidata.org/entity/Q78676,Johann Philipp von Stadion,S/Stadion-Warthausen_Johann-Philipp-Karl_1763_1824,118752413
http://www.wikidata.org/entity/Q78720,Ignaz Seipel,S/Seipel_Ignaz_1876_1932,11861293X
http://www.wikidata.org/entity/Q78744,Ernst Seidler von Feuchtenegg,S/Seidler-Feuchtenegg_Ernst_1862_1931,117464929
http://www.wikidata.org/entity/Q78802,Johann Amadeus Franz von Thugut,T/Thugut_Franz-Maria_1736_1818,118622390
http://www.wikidata.org/entity/Q78830,Georg Prochaska,P/Prochaska_Georg_1749_1820,104211520
