item,itemLabel,surname,first name,start_year,end_year,GND
http://www.wikidata.org/entity/Q79151,Othmar Spann,Spann,Othmar,1878,1950,118615904
http://www.wikidata.org/entity/Q79153,Charles Sealsfield,Postl,Karl,1793,1864,1070181080
http://www.wikidata.org/entity/Q79184,Heinrich Wawra von Fernsee,Wawra-Fernsee,Heinrich-Blasius,1831,1887,105535591X
http://www.wikidata.org/entity/Q84177,Carl Menger,Menger,Karl,1840,1921,118580841
http://www.wikidata.org/entity/Q84287,Otto Wagner,Wagner,Otto-Koloman,1841,1918,118628399
http://www.wikidata.org/entity/Q84516,Franz Seraph von Stadion,Stadion-Warthausen,Franz,1806,1853,119520702
http://www.wikidata.org/entity/Q84530,Edmund Rumpler,Rumpler,Edmund,1872,1940,117599026
http://www.wikidata.org/entity/Q84894,Anton Wildgans,Wildgans,Anton,1881,1932,118632841
http://www.wikidata.org/entity/Q85054,Fanny Starhemberg,Starhemberg,Franziska,1875,1943,117216445
http://www.wikidata.org/entity/Q85376,Franz Seraph von Orsini-Rosenberg,Orsini-Rosenberg,Franz,1761,1832,137976003
http://www.wikidata.org/entity/Q85766,Friedrich Siebenrock,Siebenrock,Friedrich,1853,1925,117339296
http://www.wikidata.org/entity/Q85815,Adolf Kurrein,Kurrein,Adolf,1846,1919,1145657508
http://www.wikidata.org/entity/Q86031,Anton Maria Schwartz,Schwartz,Anton-Maria,1852,1929,103334690X
http://www.wikidata.org/entity/Q86333,Anna Milder-Hauptmann,Milder-Hauptmann,Anna-Pauline,1785,1838,117041556
http://www.wikidata.org/entity/Q86419,Ignaz Kuranda,Kuranda,Ignaz,1811,1884,116615923
http://www.wikidata.org/entity/Q86460,Johann Malfatti,Malfatti-Monteregio,Johann,1775,1859,117540757
http://www.wikidata.org/entity/Q86629,Samuel Oppenheim,Oppenheim,Samuel,1857,1928,11713774X
http://www.wikidata.org/entity/Q86958,Karl Werner,Werner,Karl,1821,1888,118767143
http://www.wikidata.org/entity/Q87022,Karl Friedrich von Kübeck,Kuebeck-Kuebau,Karl-Friedrich,1780,1855,116577355
http://www.wikidata.org/entity/Q87045,Martin Stephan,Stephan,Martin,1777,1846,118617796
http://www.wikidata.org/entity/Q87116,Marie Renard,Renard,Marie,1863,1939,116438037
http://www.wikidata.org/entity/Q87347,Johann Kaspar von Seiller,Seiller,Johann-Kaspar,1802,1888,136374468
http://www.wikidata.org/entity/Q87526,Rudolf Wlassak,Wlassak,Rudolf,1865,1930,1140533770
http://www.wikidata.org/entity/Q87553,Arthur Gundaccar von Suttner,Suttner,Arthur-Gundaccar,1850,1902,101155891
http://www.wikidata.org/entity/Q87769,Ernst Emanuel von Silva-Tarouca,Silva-Tarouca,Ernst-Emanuel,1860,1936,127064842
http://www.wikidata.org/entity/Q87788,Friedrich Kriehuber,Kriehuber,Friedrich,1834,1871,130984493
http://www.wikidata.org/entity/Q87937,Gustav Niessl von Mayendorf,Niessl-Mayendorf,Gustav,1839,1919,117017345
http://www.wikidata.org/entity/Q88197,Rudolf Much,Much,Rudolf,1862,1936,117146382
http://www.wikidata.org/entity/Q88262,Hubert Sattler,Sattler,Hubert,1844,1928,116975121
http://www.wikidata.org/entity/Q88280,Franz Xaver Weninger,Weninger,Franz-Xaver,1805,1888,130155381
http://www.wikidata.org/entity/Q88286,Anna Sacher,Sacher,Anna,1859,1930,139577270
http://www.wikidata.org/entity/Q88418,Mathilde Sussin,Sussin,Mathilde,1876,1943,104934720X
http://www.wikidata.org/entity/Q88418,Mathilde Sussin,Sussin,Mathilde,1876,1943,104934720X
http://www.wikidata.org/entity/Q88523,Oswald von Thun und Hohenstein,Thun-Hohenstein-Salm-Reifferscheid,Oswald,1849,1913,108021190X
http://www.wikidata.org/entity/Q88529,Carl Paal,Paal,Karl,1860,1935,116011173
http://www.wikidata.org/entity/Q88725,Lina Loos,Loos,Lina,1884,1950,119201046
http://www.wikidata.org/entity/Q88951,Alois Rzach,Rzach,Alois,1850,1935,116712775
http://www.wikidata.org/entity/Q88953,Emil Marriot,Mataja,Emilie,1855,1938,118578103
http://www.wikidata.org/entity/Q89237,August Emanuel von Reuss,Reuss,August-Emanuel,1811,1873,10082594X
http://www.wikidata.org/entity/Q89285,Maximilian Steiner,Steiner,Maximilian,1830,1880,1021269875
http://www.wikidata.org/entity/Q89463,Joseph Schalk,Schalk,Josef,1857,1900,118835580
http://www.wikidata.org/entity/Q89540,Erwin Schulhoff,Schulhoff,Erwin,1894,1942,11910783X
http://www.wikidata.org/entity/Q89883,Frida Richard,Richard,Frieda,1873,1946,116505826
http://www.wikidata.org/entity/Q90021,Joseph Späth,Spaeth,Josef,1823,1896,129893455
http://www.wikidata.org/entity/Q90090,Karl Schenkl,Schenkl,Karl,1827,1900,117229938
http://www.wikidata.org/entity/Q90132,Karl Tersztyánszky von Nádas,Tersztyanszky-Nadas,Karl,1854,1921,1076374646
http://www.wikidata.org/entity/Q90564,Joseph Sablatnig,Sablatnig,Josef,1886,1945,124235549
http://www.wikidata.org/entity/Q93931,Guido Novak von Arienti,Novak-Arienti,Guido,1859,1928,13617213X
http://www.wikidata.org/entity/Q94346,Zdenko Hans Skraup,Skraup,Zdenko-Hans,1850,1910,117425230
http://www.wikidata.org/entity/Q94361,Otto Pick,Pick,Otto,1887,1940,116178434
