i,item,itemLabel,oeblid,apis_id
14514,http://www.wikidata.org/entity/Q59601742,Johann Wenzel Knobloch,K/Knobloch_Johann-Wenzel_1757_1818,70352.0
14515,http://www.wikidata.org/entity/Q59601752,Edwin Komauer,K/Komauer_Edwin_1869_1944,69368.0
14516,http://www.wikidata.org/entity/Q59601769,Simon Kreutner,K/Kreutner_Simon_1846_1912,67547.0
14517,http://www.wikidata.org/entity/Q59601786,Josef Laimegger,L/Laimegger_Josef_1814_1895,65361.0
14518,http://www.wikidata.org/entity/Q59601880,Oswald Pawlik,P/Pawlik_Oswald_1864_1933,51869.0
14519,http://www.wikidata.org/entity/Q59601886,Michael Alexander Petschacher,P/Petschacher_Michael-Alexander_1808_1867,51351.0
14520,http://www.wikidata.org/entity/Q59527084,August Scheindler,S/Scheindler_August_1851_1931,41944.0
14521,http://www.wikidata.org/entity/Q59602006,Heinrich Schnaubelt,S/Schnaubelt_Heinrich_1814_1871,39745.0
14522,http://www.wikidata.org/entity/Q59551583,Edmund Wengraf,W/Wengraf_Edmund_1860_1933,
14523,http://www.wikidata.org/entity/Q59653318,Josef Blahak,B/Blahak_Josef_1780_1846,88211.0
14524,http://www.wikidata.org/entity/Q59653402,Franz von Heintl,H/Heintl_Franz_1769_1839,78662.0
14525,http://www.wikidata.org/entity/Q59653433,Georg Meichl,M/Meichl_Georg_1791_1834,57995.0
14526,http://www.wikidata.org/entity/Q59604522,Emerich Pirchala,P/Pirchala_Emerich_1845_1923,49987.0
14527,http://www.wikidata.org/entity/Q59653315,Josefa Sartory,S/Sartory_Josefa_1771_1844,42717.0
14528,http://www.wikidata.org/entity/Q59625665,Emilie Schmäck-Stregen,S/Schmaeck-Stregen_Emilia_1817_1886,40917.0
14529,http://www.wikidata.org/entity/Q59653440,Hans Heinz Scholtys,S/Scholtys_Hans-Heinz_1900_1945,38825.0
14530,http://www.wikidata.org/entity/Q59653306,Hermine von Reichenbach,S/Schuh_Hermine_1819_1902,37233.0
14531,http://www.wikidata.org/entity/Q59653327,Josefine Scutta,S/Scutta_Josefine_1795_1863,35707.0
14532,http://www.wikidata.org/entity/Q59653476,Ferdinand von Stelzhammer,S/Stelzhammer_Ferdinand_1797_1858,31569.0
14533,http://www.wikidata.org/entity/Q59653307,Celestina Truxa,T/Truxa_Celestina_1852_1935,91644.0
14534,http://www.wikidata.org/entity/Q59822498,Josip Kenda,K/Kenda_Josip_1880_1941,72185.0
14535,http://www.wikidata.org/entity/Q60050580,Giovanni Pozzi,P/Pozzi_Giovanni_1769_1838,48613.0
14536,http://www.wikidata.org/entity/Q60040348,Jožef Vest,V/Vest_Joseph-Felix_1769_1832,
14537,http://www.wikidata.org/entity/Q60082085,Dragotin Treo,T/Treo_Dragotin_1863_1935,91475.0
14538,http://www.wikidata.org/entity/Q60169091,Jožef Sterger,S/Sterger_Jozef_1817_1889,30905.0
14539,http://www.wikidata.org/entity/Q60322370,Melly Bachrich,B/Bachrich_Melly_1899_1938,92409.0
14540,http://www.wikidata.org/entity/Q60330360,Arthur Zacharias Schwarz,S/Schwarz_Arthur-Zacharias_1880_1939,36685.0
14541,http://www.wikidata.org/entity/Q60595529,Luka Martinak,M/Martinak_Luka_1798_1850,
14542,http://www.wikidata.org/entity/Q60623111,Gustav Bancalari,B/Bancalari_Gustav_1841_1900,89842.0
14543,http://www.wikidata.org/entity/Q60623116,Hans Barbisch,B/Barbisch_Hans_1859_1929,89912.0
14544,http://www.wikidata.org/entity/Q60623196,Maximilian von Bitterl-Tessenberg,B/Bitterl-Tessenberg_Maximilian_1851_1916,88132.0
14545,http://www.wikidata.org/entity/Q60623197,Philipp von Blaschke-Zwernikkirchen,B/Blaschke-Zwernikkirchen_Philipp_1880_1938,88228.0
14546,http://www.wikidata.org/entity/Q60623252,Philipp Bryk,B/Bryk_Philipp_1842_1903,87559.0
14547,http://www.wikidata.org/entity/Q60623290,Ladislav Chmelenský,C/Chmelensky_Ladislav_1860_1932,86753.0
